SNR,UncodedBer,Capacity,ShannonCapacity
2,0.037506128358926,0.769261353160926,1.37010466975099
2.01,0.0373387275906129,0.77004561386514,1.37214237319639
2.02,0.0371717458821332,0.77082903183455,1.37418189004263
2.03,0.0370051835889019,0.771611601786525,1.3762232193383
2.04,0.0368390410616062,0.772393318442899,1.37826636012796
2.05,0.0366733186461919,0.773174176530103,1.3803113114521
2.06,0.03650801668385,0.773954170779297,1.38235807234722
2.07,0.036343135511002,0.774733295926505,1.38440664184575
2.08,0.0361786754592865,0.775511546712751,1.38645701897613
2.09,0.0360146368555462,0.77628891788419,1.38850920276279
2.1,0.0358510200218135,0.777065404192246,1.39056319222617
2.11,0.0356878252752976,0.777841000393747,1.39261898638272
2.12,0.035525052928371,0.778615701251056,1.39467658424489
2.13,0.0353627032885568,0.779389501532214,1.39673598482121
2.14,0.0352007766585147,0.780162396011071,1.39879718711621
2.15,0.0350392733360289,0.780934379467425,1.40086019013049
2.16,0.0348781936139944,0.781705446687159,1.40292499286071
2.17,0.0347175377804052,0.782475592462376,1.4049915942996
2.18,0.0345573061183408,0.78324481159154,1.40705999343598
2.19,0.0343974989059541,0.784013098879611,1.40913018925474
2.2,0.0342381164164586,0.784780449138185,1.4112021807369
2.21,0.0340791589181163,0.785546857185632,1.41327596685956
2.22,0.0339206266742257,0.786312317847234,1.41535154659595
2.23,0.033762519943109,0.787076825955325,1.41742891891546
2.24,0.033604838978101,0.787840376349431,1.41950808278357
2.25,0.0334475840275362,0.78860296387641,1.42158903716194
2.26,0.0332907553347381,0.789364583390587,1.42367178100839
2.27,0.0331343531380068,0.790125229753903,1.4257563132769
2.28,0.0329783776706077,0.790884897836049,1.42784263291764
2.29,0.03282282916076,0.791643582514608,1.42993073887697
2.3,0.0326677078316256,0.792401278675197,1.43202063009743
2.31,0.0325130139012978,0.793157981211609,1.4341123055178
2.32,0.03235874758279,0.793913685025955,1.43620576407305
2.33,0.0322049090840254,0.794668385028802,1.43830100469441
2.34,0.0320514986078256,0.795422076139318,1.44039802630934
2.35,0.0318985163519,0.796174753285417,1.44249682784153
2.36,0.0317459625088355,0.796926411403895,1.44459740821097
2.37,0.0315938372660861,0.797677045440579,1.44669976633388
2.38,0.0314421408059619,0.798426650350467,1.4488039011228
2.39,0.0312908733056197,0.79917522109787,1.45090981148654
2.4,0.0311400349370529,0.799922752656561,1.45301749633021
2.41,0.0309896258670808,0.800669240009912,1.45512695455524
2.42,0.0308396462573398,0.801414678151041,1.45723818505939
2.43,0.0306900962642732,0.802159062082956,1.45935118673674
2.44,0.0305409760391214,0.802902386818701,1.46146595847772
2.45,0.0303922857279133,0.803644647381496,1.46358249916912
2.46,0.0302440254714562,0.804385838804887,1.46570080769408
2.47,0.0300961954053273,0.805125956132884,1.46782088293213
2.48,0.0299487956598642,0.805864994420114,1.46994272375918
2.49,0.0298018263601565,0.806602948731961,1.47206632904754
2.5,0.0296552876260369,0.80733981414471,1.47419169766592
2.51,0.0295091795720721,0.808075585745699,1.47631882847946
2.52,0.0293635023075556,0.808810258633456,1.4784477203497
2.53,0.0292182559364977,0.809543827917853,1.48057837213466
2.54,0.0290734405576192,0.810276288720245,1.48271078268877
2.55,0.0289290562643416,0.811007636173622,1.48484495086296
2.56,0.0287851031447806,0.811737865422748,1.48698087550459
2.57,0.0286415812817373,0.812466971624316,1.48911855545754
2.58,0.0284984907526916,0.813194949947086,1.49125798956214
2.59,0.028355831629794,0.813921795572036,1.49339917665527
2.6,0.0282136039798587,0.814647503692507,1.49554211557029
2.61,0.0280718078643559,0.815372069514353,1.4976868051371
2.62,0.0279304433394056,0.816095488256081,1.49983324418212
2.63,0.0277895104557702,0.816817755149004,1.50198143152834
2.64,0.0276490092588476,0.817538865437384,1.5041313659953
2.65,0.0275089397886654,0.818258814378581,1.5062830463991
2.66,0.0273693020798738,0.818977597243199,1.50843647155241
2.67,0.0272300961617393,0.819695209315233,1.51059164026452
2.68,0.0270913220581392,0.820411645892217,1.5127485513413
2.69,0.0269529797875554,0.821126902285369,1.51490720358524
2.7,0.0268150693630679,0.821840973819741,1.51706759579544
2.71,0.0266775907923501,0.822553855834364,1.51922972676766
2.72,0.0265405440776632,0.823265543682394,1.52139359529427
2.73,0.02640392921585,0.823976032731263,1.52355920016433
2.74,0.0262677461983309,0.824685318362821,1.52572654016355
2.75,0.0261319950110978,0.825393395973492,1.52789561407432
2.76,0.0259966756347101,0.826100260974409,1.53006642067572
2.77,0.0258617880442895,0.826805908791569,1.53223895874353
2.78,0.0257273322095155,0.82751033486598,1.53441322705025
2.79,0.0255933080946211,0.828213534653806,1.5365892243651
2.8,0.0254597156583889,0.828915503626512,1.53876694945402
2.81,0.0253265548541463,0.829616237271017,1.54094640107971
2.82,0.0251938256297622,0.830315731089833,1.54312757800163
2.83,0.0250615279276432,0.831013980601221,1.54531047897598
2.84,0.0249296616847295,0.83171098133933,1.54749510275579
2.85,0.0247982268324926,0.832406728854346,1.54968144809082
2.86,0.0246672232969307,0.83310121871264,1.55186951372768
2.87,0.0245366509985667,0.833794446496915,1.55405929840977
2.88,0.0244065098524449,0.834486407806348,1.55625080087732
2.89,0.0242767997681279,0.835177098256743,1.55844401986739
2.9,0.0241475206496949,0.835866513480669,1.5606389541139
2.91,0.0240186723957386,0.836554649127615,1.56283560234761
2.92,0.0238902548993631,0.837241500864128,1.56503396329616
2.93,0.023762268048182,0.837927064373966,1.56723403568407
2.94,0.0236347117243164,0.838611335358236,1.56943581823276
2.95,0.0235075858043932,0.839294309535546,1.57163930966053
2.96,0.0233808901595437,0.839975982642145,1.57384450868263
2.97,0.023254624655402,0.840656350432076,1.57605141401121
2.98,0.0231287891521039,0.84133540867731,1.57826002435537
2.99,0.0230033835042863,0.842013153167899,1.58047033842115
3,0.0228784075610853,0.842689579712121,1.58268235491156
3.01,0.0227538611661369,0.843364684136615,1.58489607252657
3.02,0.0226297441575751,0.844038462286539,1.58711148996316
3.03,0.0225060563680329,0.844710910025703,1.58932860591529
3.04,0.0223827976246413,0.845382023236715,1.59154741907391
3.05,0.0222599677490298,0.846051797821129,1.59376792812702
3.06,0.022137566557326,0.846720229699585,1.59599013175962
3.07,0.0220155938601569,0.847387314811951,1.59821402865378
3.08,0.0218940494626487,0.848053049117467,1.60043961748861
3.09,0.0217729331644282,0.848717428594888,1.60266689694029
3.1,0.0216522447596231,0.849380449242626,1.60489586568206
3.11,0.0215319840368635,0.850042107078891,1.60712652238427
3.12,0.0214121507792834,0.850702398141833,1.60935886571435
3.13,0.0212927447645217,0.851361318489686,1.61159289433686
3.14,0.0211737657647242,0.852018864200902,1.61382860691348
3.15,0.0210552135465455,0.852675031374301,1.61606600210301
3.16,0.0209370878711507,0.853329816129204,1.61830507856142
3.17,0.0208193884942178,0.853983214605577,1.62054583494181
3.18,0.0207021151659406,0.854635222964168,1.62278826989446
3.19,0.0205852676310305,0.855285837386649,1.62503238206686
3.2,0.0204688456287195,0.855935054075756,1.62727817010365
3.21,0.0203528488927639,0.856582869255419,1.6295256326467
3.22,0.0202372771514463,0.857229279170912,1.63177476833508
3.23,0.0201221301275796,0.857874280088987,1.63402557580512
3.24,0.0200074075385107,0.858517868298003,1.63627805369036
3.25,0.019893109096124,0.859160040108077,1.63853220062159
3.26,0.0197792345068448,0.85980079185121,1.64078801522689
3.27,0.0196657834716445,0.860440119881428,1.6430454961316
3.28,0.019552755686044,0.861078020574917,1.64530464195834
3.29,0.0194401508401182,0.861714490330158,1.64756545132703
3.3,0.0193279686185013,0.862349525568062,1.64982792285492
3.31,0.0192162087003912,0.862983122732104,1.65209205515657
3.32,0.0191048707595545,0.863615278288458,1.65435784684387
3.33,0.0189939544643321,0.86424598872613,1.65662529652606
3.34,0.0188834594776442,0.864875250557092,1.65889440280974
3.35,0.0187733854569964,0.865503060316411,1.66116516429887
3.36,0.0186637320544849,0.866129414562387,1.66343757959481
3.37,0.0185544989168032,0.86675430987668,1.6657116472963
3.38,0.018445685685248,0.86737774286444,1.66798736599948
3.39,0.0183372919957251,0.867999710154444,1.67026473429793
3.4,0.0182293174787571,0.868620208399219,1.67254375078264
3.41,0.0181217617594893,0.869239234275174,1.67482441404204
3.42,0.018014624457697,0.869856784482729,1.67710672266202
3.43,0.0179079051877923,0.870472855746446,1.67939067522593
3.44,0.0178016035588323,0.871087444815151,1.68167627031461
3.45,0.0176957191745257,0.871700548462066,1.68396350650637
3.46,0.0175902516332416,0.872312163484932,1.68625238237702
3.47,0.0174852005280161,0.872922286706139,1.6885428964999
3.48,0.0173805654465616,0.873530914972849,1.69083504744586
3.49,0.0172763459712751,0.874138045157118,1.69312883378329
3.5,0.017172541679246,0.874743674156025,1.69542425407813
3.51,0.0170691521422652,0.875347798891794,1.69772130689387
3.52,0.0169661769268343,0.875950416311916,1.70001999079158
3.53,0.0168636155941744,0.876551523389271,1.70232030432991
3.54,0.0167614677002356,0.877151117122249,1.70462224606512
3.55,0.0166597327957064,0.877749194534874,1.70692581455105
3.56,0.0165584104260236,0.87834575267692,1.70923100833917
3.57,0.0164575001313818,0.878940788624034,1.7115378259786
3.58,0.0163570014467442,0.879534299477853,1.71384626601608
3.59,0.0162569139018524,0.880126282366121,1.716156326996
3.6,0.0161572370212367,0.880716734442808,1.71846800746045
3.61,0.0160579703242277,0.881305652888229,1.72078130594917
3.62,0.0159591133249661,0.881893034909153,1.72309622099959
3.63,0.0158606655324146,0.882478877738927,1.72541275114685
3.64,0.015762626450369,0.883063178637581,1.72773089492382
3.65,0.0156649955774694,0.883645934891949,1.73005065086108
3.66,0.0155677724072121,0.884227143815779,1.73237201748694
3.67,0.0154709564279617,0.884806802749846,1.73469499332747
3.68,0.0153745471229628,0.885384909062061,1.73701957690651
3.69,0.0152785439703527,0.885961460147583,1.73934576674566
3.7,0.0151829464431732,0.88653645342893,1.74167356136432
3.71,0.0150877540093839,0.887109886356088,1.74400295927967
3.72,0.0149929661318751,0.887681756406613,1.74633395900672
3.73,0.0148985822684802,0.888252061085748,1.74866655905829
3.74,0.0148046018719897,0.888820797926521,1.75100075794504
3.75,0.0147110243901644,0.889387964489855,1.75333655417546
3.76,0.0146178492657487,0.88995355836467,1.75567394625591
3.77,0.014525075936485,0.890517577167991,1.75801293269063
3.78,0.0144327038351274,0.891080018545045,1.76035351198172
3.79,0.0143407323894561,0.891640880169368,1.76269568262919
3.8,0.0142491610222917,0.892200159742903,1.76503944313094
3.81,0.0141579891515099,0.892757854996102,1.7673847919828
3.82,0.0140672161900566,0.893313963688024,1.76973172767853
3.83,0.0139768415459622,0.893868483606434,1.77208024870981
3.84,0.0138868646223578,0.894421412567901,1.7744303535663
3.85,0.0137972848174894,0.894972748417895,1.77678204073561
3.86,0.0137081015247351,0.895522489030877,1.77913530870334
3.87,0.0136193141326191,0.896070632310404,1.78149015595304
3.88,0.0135309220248291,0.89661717618921,1.78384658096632
3.89,0.0134429245802318,0.897162118629311,1.78620458222275
3.9,0.0133553211728893,0.897705457622087,1.78856415819995
3.91,0.0132681111720763,0.898247191188378,1.79092530737357
3.92,0.0131812939422957,0.898787317378571,1.79328802821731
3.93,0.0130948688432967,0.899325834272691,1.79565231920293
3.94,0.0130088352300912,0.899862739980486,1.79801817880027
3.95,0.0129231924529717,0.900398032641514,1.80038560547722
3.96,0.0128379398575281,0.900931710425233,1.8027545976998
3.97,0.0127530767846662,0.901463771531077,1.80512515393213
3.98,0.0126686025706251,0.901994214188547,1.80749727263644
3.99,0.0125845165469954,0.902523036657289,1.80987095227311
4,0.0125008180407375,0.90305023722718,1.81224619130063
4.01,0.0124175063742004,0.9035758142184,1.81462298817567
4.02,0.0123345808651396,0.904099765981519,1.81700134135306
4.03,0.0122520408267366,0.904622090897573,1.81938124928581
4.04,0.0121698855676179,0.905142787378138,1.82176271042511
4.05,0.0120881143918737,0.905661853865407,1.82414572322038
4.06,0.012006726599078,0.906179288832269,1.82653028611921
4.07,0.0119257214843075,0.906695090782376,1.82891639756746
4.08,0.0118450983381621,0.907209258250218,1.83130405600919
4.09,0.011764856446784,0.907721789801196,1.83369325988673
4.1,0.0116849950918788,0.908232684031691,1.83608400764066
4.11,0.011605513550735,0.908741939569131,1.83847629770986
4.12,0.0115264110962451,0.909249555072061,1.84087012853145
4.13,0.0114476869969258,0.909755529230208,1.84326549854088
4.14,0.0113693405169391,0.91025986076455,1.84566240617189
4.15,0.0112913709161137,0.910762548427372,1.84806084985656
4.16,0.0112137774499653,0.911263591002341,1.85046082802527
4.17,0.0111365593697191,0.911762987304556,1.85286233910677
4.18,0.0110597159223308,0.912260736180615,1.85526538152816
4.19,0.0109832463505081,0.912756836508674,1.85766995371489
4.2,0.0109071498927332,0.913251287198503,1.8600760540908
4.21,0.0108314257832848,0.913744087191544,1.86248368107813
4.22,0.0107560732522599,0.914235235460966,1.86489283309751
4.23,0.010681091525597,0.914724731011722,1.86730350856798
4.24,0.0106064798250982,0.915212572880597,1.86971570590701
4.25,0.0105322373684522,0.915698760136264,1.8721294235305
4.26,0.0104583633692573,0.916183291879333,1.87454465985281
4.27,0.0103848570370445,0.916666167242399,1.87696141328675
4.28,0.0103117175773006,0.917147385390094,1.87937968224361
4.29,0.0102389441914925,0.917626945519128,1.88179946513316
4.3,0.0101665360770896,0.918104846858339,1.88422076036365
4.31,0.0100944924275889,0.918581088668734,1.88664356634186
4.32,0.0100228124325379,0.919055670243535,1.88906788147307
4.33,0.00995149527755967,0.919528590908216,1.89149370416109
4.34,0.00988054014437667,0.919999850020544,1.8939210328083
4.35,0.00980994621083497,0.920469446970625,1.89634986581558
4.36,0.00973971265092999,0.920937381180927,1.89878020158242
4.37,0.00966983863482973,0.921403652106332,1.90121203850686
4.38,0.00960032332890137,0.921868259234156,1.90364537498555
4.39,0.00953116589573522,0.922331202084193,1.9060802094137
4.4,0.00946236549417045,0.922792480208742,1.90851654018518
4.41,0.00939392127932059,0.92325209319264,1.91095436569244
4.42,0.00932583240259899,0.923710040653287,1.91339368432658
4.43,0.00925809801174482,0.924166322240676,1.91583449447735
4.44,0.00919071725084852,0.924620937637422,1.91827679453314
4.45,0.00912368926037854,0.925073886558782,1.92072058288103
4.46,0.00905701317720675,0.925525168752683,1.92316585790675
4.47,0.00899068813463566,0.925974783999739,1.92561261799474
4.48,0.00892471326242428,0.926422732113278,1.92806086152814
4.49,0.00885908768681509,0.926869012939354,1.9305105868888
4.5,0.00879381053056083,0.927313626356772,1.9329617924573
4.51,0.00872888091295143,0.9277565722771,1.93541447661294
4.52,0.00866429794984125,0.928197850644682,1.93786863773378
4.53,0.00860006075367592,0.928637461436659,1.94032427419663
4.54,0.00853616843352034,0.929075404662972,1.94278138437709
4.55,0.00847262009508587,0.929511680366379,1.94523996664952
4.56,0.00840941484075797,0.929946288622461,1.94770001938707
4.57,0.00834655176962407,0.930379229539631,1.95016154096171
4.58,0.00828402997750177,0.930810503259138,1.95262452974422
4.59,0.00822184855696639,0.931240109955076,1.9550889841042
4.6,0.00816000659737992,0.931668049834381,1.95755490241009
4.61,0.00809850318491878,0.932094323136838,1.96002228302919
4.62,0.00803733740260248,0.932518930135079,1.96249112432763
4.63,0.00797650833032248,0.93294187113458,1.96496142467044
4.64,0.00791601504487072,0.933363146473663,1.96743318242153
4.65,0.00785585661996857,0.933782756523485,1.96990639594369
4.66,0.00779603212629576,0.934200701688039,1.97238106359861
4.67,0.00773654063151952,0.934616982404142,1.97485718374692
4.68,0.00767738120032413,0.935031599141426,1.97733475474817
4.69,0.00761855289444002,0.935444552402332,1.97981377496082
4.7,0.0075600547726733,0.935855842722093,1.98229424274231
4.71,0.00750188589093537,0.936265470668723,1.98477615644904
4.72,0.00744404530227294,0.936673436843001,1.98725951443635
4.73,0.00738653205689754,0.937079741878458,1.9897443150586
4.74,0.00732934520221562,0.937484386441354,1.99223055666912
4.75,0.00727248378285894,0.937887371230657,1.99471823762026
4.76,0.00721594684071414,0.938288696978033,1.99720735626337
4.77,0.0071597334149538,0.938688364447808,1.99969791094883
4.78,0.0071038425420662,0.939086374436956,2.00218990002606
4.79,0.00704827325588642,0.939482727775065,2.00468332184353
4.8,0.00699302458762663,0.939877425324316,2.00717817474877
4.81,0.00693809556590685,0.940270467979449,2.00967445708837
4.82,0.00688348521678595,0.940661856667737,2.01217216720802
4.83,0.00682919256379266,0.941051592348947,2.01467130345248
4.84,0.00677521662795655,0.941439676015315,2.01717186416562
4.85,0.00672155642783878,0.941826108691505,2.01967384769043
4.86,0.00666821097956416,0.942210891434574,2.02217725236903
4.87,0.00661517929685185,0.942594025333934,2.02468207654266
4.88,0.00656246039104702,0.94297551151131,2.0271883185517
4.89,0.0065100532711525,0.9433553511207,2.02969597673571
4.9,0.00645795694386009,0.943733545348335,2.03220504943341
4.91,0.0064061704135826,0.944110095412629,2.03471553498268
4.92,0.00635469268248567,0.944485002564132,2.03722743172061
4.93,0.00630352275051915,0.944858268085492,2.0397407379835
4.94,0.00625265961544974,0.945229893291393,2.04225545210682
4.95,0.00620210227289253,0.945599879528513,2.04477157242529
4.96,0.00615184971634342,0.945968228175466,2.04728909727286
4.97,0.00610190093721141,0.946334940642752,2.04980802498272
4.98,0.00605225492485051,0.946700018372697,2.05232835388732
4.99,0.00600291066659231,0.947063462839401,2.05485008231835
5,0.00595386714777868,0.947425275548673,2.0573732086068
5.01,0.00590512335179383,0.947785458037974,2.05989773108292
5.02,0.00585667826009706,0.948144011876359,2.06242364807629
